3e-05,4.8607e-05,768.682,878,817.289,878
3e-05,6.863e-05,553.705,878,622.335,878
3e-05,6.863e-05,318.705,878,387.335,878
3e-05,6.205e-05,96.865,878,158.915,878
3e-05,4.8607e-05,768.682,20.04,817.289,20.04
3e-05,6.863e-05,553.705,20.04,622.335,20.04
3e-05,6.863e-05,318.705,20.04,387.335,20.04
3e-05,6.205e-05,96.865,20.04,158.915,20.04
3e-05,4.8607e-05,865.896,878,817.289,878
3e-05,1.42e-05,880.096,878,865.896,878
3e-05,1.4909e-05,895.005,878,880.096,878
3e-05,6.8631e-05,690.966,878,622.335,878
3e-05,1.42e-05,705.166,878,690.966,878
3e-05,4.8607e-05,720.075,878,768.682,878
3e-05,1.4909e-05,720.075,878,705.166,878
3e-05,6.8631e-05,455.966,878,387.335,878
3e-05,1.42e-05,470.166,878,455.966,878
3e-05,6.863e-05,485.075,878,553.705,878
3e-05,1.4909e-05,485.075,878,470.166,878
3e-05,6.2051e-05,220.966,878,158.915,878
3e-05,1.42e-05,235.166,878,220.966,878
3e-05,6.863e-05,250.075,878,318.705,878
3e-05,1.4909e-05,250.075,878,235.166,878
3e-05,4.8607e-05,865.896,20.04,817.289,20.04
3e-05,1.42e-05,880.096,20.04,865.896,20.04
3e-05,1.4909e-05,895.005,20.04,880.096,20.04
3e-05,6.8631e-05,690.966,20.04,622.335,20.04
3e-05,1.42e-05,705.166,20.04,690.966,20.04
3e-05,4.8607e-05,720.075,20.04,768.682,20.04
3e-05,1.4909e-05,720.075,20.04,705.166,20.04
3e-05,6.8631e-05,455.966,20.04,387.335,20.04
3e-05,1.42e-05,470.166,20.04,455.966,20.04
3e-05,6.863e-05,485.075,20.04,553.705,20.04
3e-05,1.4909e-05,485.075,20.04,470.166,20.04
3e-05,6.2051e-05,220.966,20.04,158.915,20.04
3e-05,1.42e-05,235.166,20.04,220.966,20.04
3e-05,6.863e-05,250.075,20.04,318.705,20.04
3e-05,1.4909e-05,250.075,20.04,235.166,20.04
3e-05,1.42e-05,19.906,878,5.706,878
3e-05,6.205e-05,34.815,878,96.865,878
3e-05,1.4909e-05,34.815,878,19.906,878
3e-05,1.42e-05,19.906,20.04,5.706,20.04
3e-05,6.205e-05,34.815,20.04,96.865,20.04
3e-05,1.4909e-05,34.815,20.04,19.906,20.04
3e-05,4.8607e-05,728.682,838,777.289,838
3e-05,6.863e-05,513.705,838,582.335,838
3e-05,6.863e-05,278.705,838,347.335,838
3e-05,3.5383e-05,110.198,838,145.581,838
3e-05,4.8607e-05,728.682,60.04,777.289,60.04
3e-05,6.863e-05,513.705,60.04,582.335,60.04
3e-05,6.863e-05,278.705,60.04,347.335,60.04
3e-05,3.5383e-05,110.198,60.04,145.581,60.04
3e-05,4.8607e-05,825.896,838,777.289,838
3e-05,1.42e-05,840.096,838,825.896,838
3e-05,1.4909e-05,855.005,838,840.096,838
3e-05,6.8631e-05,650.966,838,582.335,838
3e-05,1.42e-05,665.166,838,650.966,838
3e-05,4.8607e-05,680.075,838,728.682,838
3e-05,1.4909e-05,680.075,838,665.166,838
3e-05,6.8631e-05,415.966,838,347.335,838
3e-05,1.42e-05,430.166,838,415.966,838
3e-05,6.863e-05,445.075,838,513.705,838
3e-05,1.4909e-05,445.075,838,430.166,838
3e-05,3.5385e-05,180.966,838,145.581,838
3e-05,1.42e-05,195.166,838,180.966,838
3e-05,6.863e-05,210.075,838,278.705,838
3e-05,1.4909e-05,210.075,838,195.166,838
3e-05,4.8607e-05,825.896,60.04,777.289,60.04
3e-05,1.42e-05,840.096,60.04,825.896,60.04
3e-05,1.4909e-05,855.005,60.04,840.096,60.04
3e-05,6.8631e-05,650.966,60.04,582.335,60.04
3e-05,1.42e-05,665.166,60.04,650.966,60.04
3e-05,4.8607e-05,680.075,60.04,728.682,60.04
3e-05,1.4909e-05,680.075,60.04,665.166,60.04
3e-05,6.8631e-05,415.966,60.04,347.335,60.04
3e-05,1.42e-05,430.166,60.04,415.966,60.04
3e-05,6.863e-05,445.075,60.04,513.705,60.04
3e-05,1.4909e-05,445.075,60.04,430.166,60.04
3e-05,3.5385e-05,180.966,60.04,145.581,60.04
3e-05,1.42e-05,195.166,60.04,180.966,60.04
3e-05,6.863e-05,210.075,60.04,278.705,60.04
3e-05,1.4909e-05,210.075,60.04,195.166,60.04
2.8e-07,7.5e-07,445.08,615.72,445.83,615.72
3.8e-07,2.4e-07,445.08,615.72,444.84,615.72
3e-05,1.42e-05,59.906,838,45.706,838
3e-05,3.5383e-05,74.815,838,110.198,838
3e-05,1.4909e-05,74.815,838,59.906,838
3e-05,1.42e-05,59.906,60.04,45.706,60.04
3e-05,3.5383e-05,74.815,60.04,110.198,60.04
3e-05,1.4909e-05,74.815,60.04,59.906,60.04
